ISG15:9636	Immunodeficiency_38_with_basal_ganglia_calcification	MedGen:C4015293,OMIM:616126,Orphanet:ORPHA319563
AGRN:375790	Myasthenic_syndrome,_congenital,_8	MedGen:C3808739,OMIM:615120
TNFRSF4:7293	Immunodeficiency_16	MedGen:C3810053,OMIM:615593,Orphanet:ORPHA431149
B3GALT6:126792	not_specified	MedGen:CN169374
DVL1:1855	not_specified	MedGen:CN169374
MXRA8:54587	Abnormality_of_brain_morphology	Human_Phenotype_Ontology:HP:0012443,MedGen:C4021085
ATAD3A:55210	Harel-Yoon_syndrome|not_specified|not_provided	MedGen:C4310677,OMIM:617183|MedGen:CN169374|MedGen:CN517202
TMEM240:339453	Spinocerebellar_ataxia_21	MedGen:C1843891,OMIM:607454,Orphanet:ORPHA98773
MIB2:142678	not_specified	MedGen:CN169374
CDK11B:984	Seizures	Human_Phenotype_Ontology:HP:0001250,MedGen:C0036572
CDK11A:728642	not_specified	MedGen:CN169374
GNB1:2782	Inborn_genetic_diseases	MeSH:D030342,MedGen:C0950123
GABRD:2563	Idiopathic_generalized_epilepsy	Gene:1957,MedGen:C0270850,OMIM:600669,SNOMED_CT:36803009
PRKCZ:5590	not_provided	MedGen:CN517202
SKI:6497	not_specified	MedGen:CN169374
PEX10:5192|RER1:11079	Zellweger_syndrome	MedGen:C0043459,OMIM:214100,Orphanet:ORPHA912,SNOMED_CT:88469006
PEX10:5192	Zellweger_syndrome	MedGen:C0043459,OMIM:214100,Orphanet:ORPHA912,SNOMED_CT:88469006
PEX10:5192|PLCH2:9651	Peroxisome_biogenesis_disorder_6A|Peroxisome_biogenesis_disorder_6B	MedGen:C3553947,OMIM:614870|MedGen:C3553948,OMIM:614871
TNFRSF14:8764|TNFRSF14-AS1:115110	not_specified	MedGen:CN169374
TNFRSF14:8764	not_specified	MedGen:CN169374
PRDM16:63976	not_specified	MedGen:CN169374
CEP104:9731	Joubert_syndrome_25	MedGen:C4084842,OMIM:616781
NPHP4:261734	Nephronophthisis|Renal_dysplasia_and_retinal_aplasia	Human_Phenotype_Ontology:HP:0000090,MedGen:C0687120,Orphanet:ORPHA655,SNOMED_CT:204958008|MedGen:CN117960,Orphanet:ORPHA3156,SNOMED_CT:236531005
KCNAB2:8514|NPHP4:261734	Nephronophthisis|Renal_dysplasia_and_retinal_aplasia	Human_Phenotype_Ontology:HP:0000090,MedGen:C0687120,Orphanet:ORPHA655,SNOMED_CT:204958008|MedGen:CN117960,Orphanet:ORPHA3156,SNOMED_CT:236531005
KCNAB2:8514	Inborn_genetic_diseases	MeSH:D030342,MedGen:C0950123
GPR153:387509	Childhood-Onset_Schizophrenia	MedGen:C0036346
ACOT7:11332	not_specified	MedGen:CN169374
ESPN:83715	not_specified	MedGen:CN169374
TNFRSF25:8718|PLEKHG5:57449	Distal_spinal_muscular_atrophy	MedGen:C0393541,Orphanet:ORPHA53739,SNOMED_CT:230247001
PLEKHG5:57449	Distal_spinal_muscular_atrophy	MedGen:C0393541,Orphanet:ORPHA53739,SNOMED_CT:230247001
KLHL21:9903	Ependymoma	Human_Phenotype_Ontology:HP:0002888,MeSH:D004806,MedGen:C0014474,Orphanet:ORPHA251636,SNOMED_CT:57706008
DNAJC11:55735	not_specified	MedGen:CN169374
CAMTA1:23261	Inborn_genetic_diseases	MeSH:D030342,MedGen:C0950123
PER3:8863	not_specified	MedGen:CN169374
TNFRSF9:3604	not_specified	MedGen:CN169374
PARK7:11315	Parkinson_Disease,_Recessive	MedGen:CN239372
SLC45A1:50651	INTELLECTUAL_DEVELOPMENTAL_DISORDER_WITH_NEUROPSYCHIATRIC_FEATURES	MedGen:C4479636,OMIM:617532
RERE:473	not_provided	MedGen:CN517202
SLC2A5:6518	Long_QT_syndrome	MeSH:D008133,MedGen:C0023976,SNOMED_CT:9651007
H6PD:9563	not_specified	MedGen:CN169374
PIK3CD:5293	not_specified	MedGen:CN169374
NMNAT1:64802	Leber_congenital_amaurosis_9	MedGen:C1837873,OMIM:608553
KIF1B:23095	Pheochromocytoma|Neuroblastoma|Charcot-Marie-Tooth_disease,_type_2	Human_Phenotype_Ontology:HP:0002666,MedGen:C0031511,OMIM:171300|Human_Phenotype_Ontology:HP:0003006,MeSH:D009447,MedGen:C2749484,OMIM:256700,Orphanet:ORPHA635|MedGen:C0270914,Orphanet:ORPHA64746
PEX14:5195	not_provided	MedGen:CN517202
TARDBP:23435	Frontotemporal_dementia|Amyotrophic_Lateral_Sclerosis,_Dominant	Human_Phenotype_Ontology:HP:0002145,MedGen:C0338451,OMIM:600274,Orphanet:ORPHA282,SNOMED_CT:230270009|MedGen:CN239175
TARDBP:23435|MASP2:10747	Frontotemporal_dementia|MASP2_deficiency|Amyotrophic_Lateral_Sclerosis,_Dominant	Human_Phenotype_Ontology:HP:0002145,MedGen:C0338451,OMIM:600274,Orphanet:ORPHA282,SNOMED_CT:230270009|MedGen:C3151085,OMIM:613791,Orphanet:ORPHA331187|MedGen:CN239175
MASP2:10747	MASP2_deficiency	MedGen:C3151085,OMIM:613791,Orphanet:ORPHA331187
MTOR:2475	Kidney_Carcinoma	MedGen:C1378703
MTOR:2475|MTOR-AS1:100873935	Smith-Kingsmore_syndrome	MedGen:C4225259,OMIM:616638,Orphanet:ORPHA457485
MTOR:2475|UBIAD1:29914	Schnyder_crystalline_corneal_dystrophy	Human_Phenotype_Ontology:HP:0007760,MedGen:C0271287,OMIM:121800,Orphanet:ORPHA98967,SNOMED_CT:39662004,SNOMED_CT:419395007
UBIAD1:29914	Schnyder_crystalline_corneal_dystrophy	Human_Phenotype_Ontology:HP:0007760,MedGen:C0271287,OMIM:121800,Orphanet:ORPHA98967,SNOMED_CT:39662004,SNOMED_CT:419395007
MAD2L2:10459	Fanconi_anemia,_complementation_group_V	MedGen:C4310652,OMIM:617243
MTHFR:4524|C1orf167:284498	Neural_tube_defects,_folate-sensitive	MedGen:C1866558,OMIM:601634
MTHFR:4524	Neural_tube_defects,_folate-sensitive	MedGen:C1866558,OMIM:601634
NPPA:4878|NPPA-AS1:100379251	Atrial_fibrillation,_familial,_6	MedGen:C2677294,OMIM:612201
NPPA:4878	Atrial_fibrillation,_familial,_6	MedGen:C2677294,OMIM:612201
PLOD1:5351	Ehlers-Danlos_syndrome,_hydroxylysine-deficient	MedGen:C0268342,OMIM:225400,Orphanet:ORPHA1900,SNOMED_CT:25606004
